scheme,trait_a,trait_b,pair_key,cos,cos_abs,alpha,coh_steered,regime,mean_single_abs,max_single_abs,min_single_abs,mechanical_push,sem_sim,delta_a_joint,delta_b_joint,delta_a_single,delta_b_single,supp_signed_a,supp_signed_b,supp_mean_signed,supp_min_signed,mean_joint_abs
normFalse,apathetic,confidence,apathetic|confidence,0.0143,0.0143,4.0,55.56,dominant,26.365,32.65,20.08,4.0572,0.2401042572847261,57.13,-12.84,32.65,20.08,24.480000000000004,-32.92,-4.219999999999999,-32.92,34.985
normFalse,apathetic,formality,apathetic|formality,0.015,0.015,4.0,80.87,mixed,14.665,21.48,7.85,4.06,0.2463475771338999,64.24,3.22,21.48,7.85,42.75999999999999,-4.629999999999999,19.064999999999998,-4.629999999999999,33.73
normFalse,apathetic,hallucinating,apathetic|hallucinating,-0.1642,0.1642,4.0,59.95,emergent,25.9,28.16,23.64,3.3432,0.1981125750075286,43.39,48.76,23.64,28.16,19.75,20.599999999999998,20.174999999999997,19.75,46.075
normFalse,apathetic,power_seeking,apathetic|power_seeking,0.0063,0.0063,4.0,81.73,additive,21.395000000000003,34.56,8.23,4.0252,0.2912666989062864,40.38,-9.46,34.56,-8.23,5.82,-1.2300000000000004,2.295,-1.2300000000000004,24.92
normFalse,apathetic,sycophantic,apathetic|sycophantic,0.0503,0.0503,4.0,43.79,mixed,51.559999999999995,69.07,34.05,4.2012,0.3440802332491053,62.99,31.84,34.05,69.07,28.940000000000005,-37.22999999999999,-4.1449999999999925,-37.22999999999999,47.415
normFalse,confidence,evil,confidence|evil,0.2294,0.2294,4.0,34.45,dominant,30.74,37.09,24.39,4.9176,0.2091840045848018,-14.58,64.31,24.39,37.09,-38.97,27.22,-5.875,-38.97,39.445
normFalse,confidence,formality,confidence|formality,0.2262,0.2262,4.0,78.46,mixed,11.579999999999998,17.56,5.6,4.9048,0.3983459333841723,10.44,2.64,17.56,5.6,-7.119999999999999,-2.9599999999999995,-5.039999999999999,-7.119999999999999,6.54
normFalse,confidence,hallucinating,confidence|hallucinating,0.27,0.27,4.0,50.55,mixed,28.36,33.45,23.27,5.08,0.2519010909257566,9.45,66.51,23.27,33.45,-13.82,33.06,9.620000000000001,-13.82,37.98
normFalse,confidence,humorous,confidence|humorous,-0.0802,0.0802,4.0,42.24,dominant,44.925,76.42,13.43,3.6792,0.2414996680675673,-31.72,54.28,13.43,76.42,-45.15,-22.14,-33.644999999999996,-45.15,43.0
normFalse,confidence,impolite,confidence|impolite,0.1573,0.1573,4.0,39.48,dominant,33.964999999999996,53.41,14.52,4.6292,0.2681074093085094,-27.36,66.82,14.52,53.41,-41.879999999999995,13.409999999999997,-14.235,-41.879999999999995,47.09
normFalse,confidence,power_seeking,confidence|power_seeking,0.269,0.269,4.0,95.43,mixed,16.71,23.39,10.03,5.0760000000000005,0.328168820154478,12.47,-9.59,23.39,-10.03,-10.92,0.4399999999999995,-5.24,-10.92,11.03
normFalse,confidence,sycophantic,confidence|sycophantic,0.3546,0.3546,4.0,58.25,mixed,47.17,65.08,29.26,5.4184,0.274089006426584,30.13,87.26,29.26,65.08,0.8699999999999974,22.180000000000007,11.525000000000002,0.8699999999999974,58.695
normFalse,evil,formality,evil|formality,-0.1059,0.1059,4.0,59.27,suppressive,25.3,46.6,4.0,3.5764,0.1956635933851903,14.32,-7.8,46.6,4.0,-32.28,-11.8,-22.04,-32.28,11.06
