drop_trait,n,β_cos,SE,p,R²
(none — full),76,0.28477312364524016,0.13730998313876813,0.041764858913452274,0.6053223737836017
apathetic,58,0.25462103688030585,0.16060504868405964,0.11894184096124572,0.6590279513587538
confidence,55,0.40457125895596063,0.17856326333581302,0.027923492590717913,0.5763571799532043
evil,60,0.26821725304113136,0.13985288498976436,0.0604245760176616,0.6667880725517158
formality,55,0.22432460485078107,0.17879290785793053,0.21555328898861692,0.5164381067372359
hallucinating,59,0.2995797715838184,0.12319004068123705,0.01843391734318911,0.7564838281996427
humorous,63,0.2754016404895387,0.14255971903551523,0.0583564249774875,0.5431363287066839
impolite,58,0.2892798618737014,0.185956900191297,0.12586228696645163,0.5633722937812422
power_seeking,68,0.23196328464142035,0.13040122347426078,0.080167796385747,0.6774182610440797
sycophantic,56,0.37911452784053107,0.1784613964086682,0.038608572397324625,0.5499021647704896
