trait_a,trait_b,regime,cos_orig,cos_residual,abs_cos_orig,abs_cos_residual,delta_abs_cos,both_negative
apathetic,evil,dominant,0.2577967330104729,-0.0829836739356952,0.2577967330104729,0.0829836739356952,-0.1748130590747777,True
apathetic,hallucinating,additive,-0.16417398024849195,-0.10541254645374892,0.16417398024849195,0.10541254645374892,-0.05876143379474302,False
apathetic,humorous,mixed,0.19225184093463832,0.006619215440815153,0.19225184093463832,0.006619215440815153,-0.18563262549382317,False
apathetic,impolite,mixed,0.6948373596736672,0.4773563562417258,0.6948373596736672,0.4773563562417258,-0.21748100343194143,True
apathetic,sycophantic,mixed,0.050333122959140345,-0.21457632082924213,0.050333122959140345,0.21457632082924213,0.16424319787010178,True
apathetic,confidence,dominant,0.014321485330893969,0.2443748656749407,0.014321485330893969,0.2443748656749407,0.23005338034404674,False
apathetic,formality,mixed,0.015025658117853205,0.46972438900546093,0.015025658117853205,0.46972438900546093,0.4546987308876077,False
evil,hallucinating,mixed,0.27083204948350587,0.3976936232962851,0.27083204948350587,0.3976936232962851,0.12686157381277924,False
evil,humorous,dominant,0.36846624059980104,0.2598700214170637,0.36846624059980104,0.2598700214170637,-0.10859621918273732,False
evil,impolite,mixed,0.39945140379913535,0.08027536948935454,0.39945140379913535,0.08027536948935454,-0.3191760343097808,True
evil,sycophantic,mixed,0.4184141543173358,0.3022547059516951,0.4184141543173358,0.3022547059516951,-0.11615944836564068,True
confidence,evil,mixed,0.22940662231201014,0.4498741622876983,0.22940662231201014,0.4498741622876983,0.22046753997568813,False
evil,formality,suppressive,-0.10588932824929748,0.19956213060046257,0.10588932824929748,0.19956213060046257,0.0936728023511651,False
hallucinating,humorous,mixed,0.13108444060222335,0.18180523098315376,0.13108444060222335,0.18180523098315376,0.050720790380930414,False
hallucinating,impolite,additive,-0.05082556039582296,0.055319133114304406,0.05082556039582296,0.055319133114304406,0.004493572718481449,False
hallucinating,sycophantic,additive,0.24702516712017175,0.31376998885014495,0.24702516712017175,0.31376998885014495,0.0667448217299732,False
confidence,hallucinating,additive,0.26995594651908555,0.24471017908071518,0.26995594651908555,0.24471017908071518,-0.02524576743837037,False
formality,hallucinating,mixed,0.10328971631153691,0.04306417064893782,0.10328971631153691,0.04306417064893782,-0.06022554566259909,False
humorous,impolite,additive,0.4367757301769105,0.32867667335891815,0.4367757301769105,0.32867667335891815,-0.10809905681799237,False
humorous,sycophantic,additive,0.37874799249207025,0.3070028808709291,0.37874799249207025,0.3070028808709291,-0.07174511162114117,False
confidence,humorous,mixed,-0.08024898286255291,0.004872717057479503,0.08024898286255291,0.004872717057479503,-0.07537626580507341,False
formality,humorous,suppressive,-0.5224934027321478,-0.4488591907026883,0.5224934027321478,0.4488591907026883,-0.07363421202945952,False
impolite,sycophantic,mixed,0.2889346849512683,0.08175255024995985,0.2889346849512683,0.08175255024995985,-0.20718213470130842,True
confidence,impolite,suppressive,0.15732524489854285,0.4949142335338377,0.15732524489854285,0.4949142335338377,0.33758898863529485,False
formality,impolite,suppressive,-0.22998506976197663,0.17429795711483717,0.22998506976197663,0.17429795711483717,-0.055687112647139464,False
confidence,sycophantic,additive,0.35455880590431077,0.497523127717753,0.35455880590431077,0.497523127717753,0.1429643218134422,False
formality,sycophantic,mixed,-0.12518658399269073,0.054753094817648285,0.12518658399269073,0.054753094817648285,-0.07043348917504244,False
confidence,formality,mixed,0.22619150293364956,0.10527589927724204,0.22619150293364956,0.10527589927724204,-0.12091560365640752,False
