trait_a,trait_b,regime,cos_orig,cos_residual,abs_cos_orig,abs_cos_residual,delta_abs_cos,both_negative
apathetic,evil,dominant,0.2577967330104729,0.002563614890934831,0.2577967330104729,0.002563614890934831,-0.2552331181195381,True
apathetic,hallucinating,additive,-0.16417398024849195,-0.28183241072563603,0.16417398024849195,0.28183241072563603,0.11765843047714408,True
apathetic,humorous,mixed,0.19225184093463832,0.060775774065195624,0.19225184093463832,0.060775774065195624,-0.1314760668694427,False
apathetic,impolite,mixed,0.6948373596736672,0.5749191330521253,0.6948373596736672,0.5749191330521253,-0.11991822662154195,True
apathetic,sycophantic,mixed,0.050333122959140345,-0.14157588679998964,0.050333122959140345,0.14157588679998964,0.0912427638408493,True
apathetic,confidence,dominant,0.014321485330893969,0.19620900718662193,0.014321485330893969,0.19620900718662193,0.18188752185572796,False
apathetic,formality,mixed,0.015025658117853205,0.3608030376565151,0.015025658117853205,0.3608030376565151,0.3457773795386619,False
evil,hallucinating,mixed,0.27083204948350587,0.22488469789041665,0.27083204948350587,0.22488469789041665,-0.045947351593089214,True
evil,humorous,dominant,0.36846624059980104,0.2694640423284499,0.36846624059980104,0.2694640423284499,-0.09900219827135115,False
evil,impolite,mixed,0.39945140379913535,0.14213943740687557,0.39945140379913535,0.14213943740687557,-0.2573119663922598,True
evil,sycophantic,mixed,0.4184141543173358,0.3044498470192484,0.4184141543173358,0.3044498470192484,-0.11396430729808743,True
confidence,evil,mixed,0.22940662231201014,0.46886539109191416,0.22940662231201014,0.46886539109191416,0.23945876877990402,False
evil,formality,suppressive,-0.10588932824929748,0.21469491317543118,0.10588932824929748,0.21469491317543118,0.10880558492613371,False
hallucinating,humorous,mixed,0.13108444060222335,0.09138608013238937,0.13108444060222335,0.09138608013238937,-0.03969836046983398,False
hallucinating,impolite,additive,-0.05082556039582296,-0.176698632240608,0.05082556039582296,0.176698632240608,0.12587307184478505,True
hallucinating,sycophantic,additive,0.24702516712017175,0.20924467063529956,0.24702516712017175,0.20924467063529956,-0.037780496484872195,True
confidence,hallucinating,additive,0.26995594651908555,0.3358566857562242,0.26995594651908555,0.3358566857562242,0.06590073923713863,False
formality,hallucinating,mixed,0.10328971631153691,0.21592738834210318,0.10328971631153691,0.21592738834210318,0.11263767203056627,False
humorous,impolite,additive,0.4367757301769105,0.3472009599006346,0.4367757301769105,0.3472009599006346,-0.08957477027627592,False
humorous,sycophantic,additive,0.37874799249207025,0.3135680143250414,0.37874799249207025,0.3135680143250414,-0.06517997816702886,False
confidence,humorous,mixed,-0.08024898286255291,0.00548701912489114,0.08024898286255291,0.00548701912489114,-0.07476196373766178,False
formality,humorous,suppressive,-0.5224934027321478,-0.45713568341024435,0.5224934027321478,0.45713568341024435,-0.06535771932190348,False
impolite,sycophantic,mixed,0.2889346849512683,0.12253825831009865,0.2889346849512683,0.12253825831009865,-0.16639642664116963,True
confidence,impolite,suppressive,0.15732524489854285,0.4273248868677325,0.15732524489854285,0.4273248868677325,0.2699996419691897,False
formality,impolite,suppressive,-0.22998506976197663,0.0979012283719467,0.22998506976197663,0.0979012283719467,-0.13208384139002993,False
confidence,sycophantic,additive,0.35455880590431077,0.5054558510112515,0.35455880590431077,0.5054558510112515,0.15089704510694069,False
formality,sycophantic,mixed,-0.12518658399269073,0.05704499964859002,0.12518658399269073,0.05704499964859002,-0.0681415843441007,False
confidence,formality,mixed,0.22619150293364956,0.08940632201527308,0.22619150293364956,0.08940632201527308,-0.1367851809183765,False
