trait_a,trait_b,cos,regime,alpha,coh_base,coh_steered,comp_base,comp_steered,delta_a_single,delta_b_single,delta_a_joint,delta_b_joint,delta_comp,delta_coh,cos_abs,is_additive,norm_delta_per_axis
apathetic,confidence,0.0143,dominant,4.5,97.84,50.01,32.19,54.67,41.9,22.63,61.03,-16.05,22.49,-47.83,0.0143,0,6.31894097806702
apathetic,evil,0.2578,mixed,4.5,97.16,37.53,3.96,50.03,45.34,68.57,70.04,22.11,46.07,-59.63,0.2578,0,5.67442312088286
apathetic,formality,0.015,dominant,4.5,97.88,74.36,44.75,79.96,35.44,6.68,69.08,1.34,35.21,-23.52,0.015,0,6.316761657092368
apathetic,hallucinating,-0.1642,emergent,4.5,94.16,29.93,10.47,76.63,31.47,41.3,62.46,69.85,66.16,-64.22,0.1642,0,6.961075244319018
apathetic,humorous,0.1923,mixed,4.5,97.11,32.51,0.75,62.97,28.36,75.36,74.6,49.84,62.22,-64.59,0.1923,0,5.828203932912771
apathetic,impolite,0.6948,mixed,4.5,96.91,48.75,1.33,62.89,35.08,73.2,62.99,60.12,61.55,-48.16,0.6948,0,4.888417430058321
apathetic,sycophantic,0.0503,mixed,4.5,97.76,39.18,4.53,54.79,41.4,77.99,66.81,33.72,50.26,-58.58,0.0503,0,6.20970299700831
confidence,evil,0.2294,dominant,4.5,97.18,42.8,30.02,51.38,22.69,48.5,-12.69,55.4,21.36,-54.38,0.2294,0,5.739590488450357
confidence,formality,0.2262,mixed,4.5,97.26,83.3,76.47,82.05,19.55,4.36,8.61,2.53,5.57,-13.96,0.2262,0,5.747074880204894
confidence,hallucinating,0.27,mixed,4.5,93.48,63.88,25.37,64.7,26.85,40.01,21.13,57.52,39.33,-29.59,0.27,0,5.647102246243427
confidence,humorous,-0.0802,dominant,4.5,96.93,26.45,33.09,37.33,16.58,78.2,-47.25,55.73,4.24,-70.48,0.0802,0,6.635609328057132
confidence,impolite,0.1573,dominant,4.5,95.93,40.26,31.55,51.69,19.43,69.12,-23.95,64.21,20.13,-55.67,0.1573,0,5.915678114888729
confidence,sycophantic,0.3546,additive,4.5,97.16,73.47,25.0,85.3,33.28,77.94,37.0,83.61,60.3,-23.69,0.3546,1,5.46791778538429
evil,formality,-0.1059,suppressive,4.5,96.76,31.29,45.05,42.43,59.67,4.68,22.14,-27.39,-2.63,-65.46,0.1059,0,6.730300635949543
evil,hallucinating,0.2708,emergent,4.5,92.84,37.44,4.68,67.03,35.36,43.89,48.83,75.86,62.35,-55.4,0.2708,0,5.64532447121236
evil,humorous,0.3685,mixed,4.5,96.13,28.32,0.0,43.2,48.3,78.95,14.79,71.62,43.2,-67.81,0.3685,0,5.440077800385016
evil,impolite,0.3995,additive,4.5,96.0,31.34,0.0,62.96,53.67,70.51,39.63,86.3,62.96,-64.65,0.3995,1,5.379489450906246
evil,sycophantic,0.4184,additive,4.5,96.66,43.1,0.85,56.49,59.17,81.32,48.97,62.3,55.64,-53.56,0.4184,1,5.343528749093223
formality,hallucinating,0.1033,dominant,4.5,92.94,58.74,47.46,74.61,5.49,42.8,1.34,52.96,27.15,-34.2,0.1033,0,6.058717491783726
formality,humorous,-0.5225,suppressive,4.5,96.95,6.28,44.98,15.68,3.9,75.52,-67.8,9.21,-29.29,-90.67,0.5225,0,9.209601181739716
formality,impolite,-0.23,suppressive,4.5,96.31,39.7,44.17,52.19,5.2,69.4,-9.37,25.41,8.02,-56.61,0.23,0,7.252406676228423
formality,sycophantic,-0.1252,dominant,4.5,97.76,37.14,46.62,74.98,3.99,71.63,-10.15,66.88,28.36,-60.62,0.1252,0,6.804138174397718
hallucinating,humorous,0.1311,mixed,4.5,92.56,23.18,5.33,79.91,49.68,59.68,75.44,73.73,74.59,-69.38,0.1311,0,5.983799186950676
hallucinating,impolite,-0.0508,emergent,4.5,92.72,23.34,6.58,79.87,50.78,50.34,72.47,74.11,73.29,-69.38,0.0508,0,6.532037161687675
hallucinating,sycophantic,0.247,emergent,4.5,93.24,55.18,5.97,78.02,42.97,55.53,64.11,79.99,72.05,-38.06,0.247,0,5.698942627626211
humorous,impolite,0.4368,additive,4.5,95.43,32.07,0.09,73.37,79.09,64.72,68.17,78.38,73.28,-63.35,0.4368,1,5.309203254558848
humorous,sycophantic,0.3787,additive,4.5,95.91,41.66,1.37,77.7,75.21,65.38,76.26,76.41,76.33,-54.25,0.3787,1,5.419916849745597
impolite,sycophantic,0.2889,mixed,4.5,96.1,42.32,1.16,65.23,67.29,75.1,85.02,43.13,64.07,-53.78,0.2889,0,5.6055457283444845
