pair_id,behaviour_index,trait_i,trait_j,regime,cosine,delta,l_div,max_diff
0,0,apathetic,confidence,dominant,0.014321492984890938,0.23715001747012135,32.0,1.4942313909530638
0,1,apathetic,confidence,dominant,0.014321492984890938,0.3740038994234056,,0.7843227148056027
1,0,apathetic,evil,mixed,0.2577967643737793,2.0467116868868467,18.0,2.9473387682437897
1,1,apathetic,evil,mixed,0.2577967643737793,0.6050568482279779,32.0,1.2828929948806769
2,0,apathetic,formality,mixed,0.015025658532977104,0.27974724614992735,,0.46607649564743037
2,1,apathetic,formality,mixed,0.015025658532977104,0.7728311236202718,26.0,1.4817196226119993
3,0,apathetic,hallucinating,emergent,-0.16417400538921356,0.35572700111195454,32.0,1.268240811824799
3,1,apathetic,hallucinating,emergent,-0.16417400538921356,1.406284876621212,18.0,1.600273940563202
4,0,apathetic,humorous,mixed,0.19225189089775085,2.995459838807583,17.0,3.873663899898529
4,1,apathetic,humorous,mixed,0.19225189089775085,1.1427714431378995,18.0,1.8426740884780894
5,0,apathetic,impolite,mixed,0.6948375701904297,5.0325990604422985,17.0,6.45604814529419
5,1,apathetic,impolite,mixed,0.6948375701904297,4.2582962742820385,18.0,5.465941022634507
6,0,apathetic,power_seeking,additive,0.00628694798797369,0.18993221458047624,32.0,1.0794926834106446
6,1,apathetic,power_seeking,additive,0.00628694798797369,0.23826911463867867,,0.7881033992767321
7,0,apathetic,sycophantic,mixed,0.050333134829998016,1.1482172093354166,18.0,1.4571109539270406
7,1,apathetic,sycophantic,mixed,0.050333134829998016,0.4880382655172071,32.0,1.3905437397956844
8,0,confidence,evil,dominant,0.22940663993358612,1.5377768352814019,18.0,2.0603111410140995
8,1,confidence,evil,dominant,0.22940663993358612,1.947443750174716,18.0,2.8604974555969243
9,0,confidence,formality,mixed,0.22619155049324036,1.7483497768454255,18.0,2.165889012813568
9,1,confidence,formality,mixed,0.22619155049324036,1.5733938817307354,18.0,2.2006962347030647
10,0,confidence,hallucinating,mixed,0.26995596289634705,1.8687502270797267,18.0,2.267063765525818
10,1,confidence,hallucinating,mixed,0.26995596289634705,1.6051446911669336,18.0,2.3236807727813726
11,0,confidence,humorous,dominant,-0.08024901151657104,0.6159203629195691,27.0,1.0050032877922055
11,1,confidence,humorous,dominant,-0.08024901151657104,0.7865136421937496,31.0,2.8856932640075685
12,0,confidence,impolite,dominant,0.15732529759407043,0.7893867893703281,18.0,1.1700680375099184
12,1,confidence,impolite,dominant,0.15732529759407043,0.7363907440379263,18.0,1.243661057949066
13,0,confidence,power_seeking,mixed,0.268978476524353,2.0403959907591345,18.0,2.9376259958744053
13,1,confidence,power_seeking,mixed,0.268978476524353,1.5090948822675272,18.0,3.6716400384902954
14,0,confidence,sycophantic,mixed,0.3545588552951813,1.9962763061560689,18.0,2.398993554115295
14,1,confidence,sycophantic,mixed,0.3545588552951813,2.2497463777324445,18.0,3.1546723818778997
15,0,evil,formality,suppressive,-0.10588932037353516,1.7782540382165462,18.0,2.8161188745498658
15,1,evil,formality,suppressive,-0.10588932037353516,0.3630980469658971,32.0,1.2675804042816168
16,0,evil,hallucinating,emergent,0.27083200216293335,3.086647664066404,17.0,4.321520755290984
16,1,evil,hallucinating,emergent,0.27083200216293335,1.5754455019155285,18.0,2.2155911016464245
17,0,evil,humorous,mixed,0.36846622824668884,1.9532289040274917,18.0,2.7474753844738
17,1,evil,humorous,mixed,0.36846622824668884,1.9200659917853775,18.0,3.1073470354080186
18,0,evil,impolite,emergent,0.39945143461227417,2.0180466768518093,18.0,3.289710438251496
18,1,evil,impolite,emergent,0.39945143461227417,2.21434788281098,18.0,3.4574881899356837
19,0,evil,power_seeking,mixed,0.479318231344223,4.740864500971512,17.0,7.39790195375681
19,1,evil,power_seeking,mixed,0.479318231344223,2.328240742329508,18.0,6.195192828178405
20,0,evil,sycophantic,mixed,0.4184141159057617,2.5496323242224754,17.0,3.055665600299835
20,1,evil,sycophantic,mixed,0.4184141159057617,2.6915978380746672,17.0,3.475044403076171
21,0,formality,hallucinating,mixed,0.10328970849514008,1.7246843408793215,18.0,2.3635041666030894
21,1,formality,hallucinating,mixed,0.10328970849514008,0.6123696518738871,,0.8529872775077827
22,0,formality,humorous,suppressive,-0.5224934816360474,1.6435014439187947,18.0,2.650086307525635
22,1,formality,humorous,suppressive,-0.5224934816360474,6.5686317076697005,17.0,9.34349826514721
23,0,formality,impolite,suppressive,-0.22998511791229248,0.5210814483463763,18.0,1.497074584960937
23,1,formality,impolite,suppressive,-0.22998511791229248,3.0519727156078442,18.0,4.573414058685303
24,0,formality,power_seeking,additive,0.18319258093833923,2.1661366076953703,18.0,2.959508776664734
24,1,formality,power_seeking,additive,0.18319258093833923,1.6934219264844432,18.0,2.492434043884277
25,0,formality,sycophantic,dominant,-0.12518659234046936,0.161769608259201,,0.8330368614196786
25,1,formality,sycophantic,dominant,-0.12518659234046936,0.7256120981372078,29.0,2.6034655117988583
